Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
25-Jul,0,5,0,0,0,0,0,0
26-Jul,0,10,0,0,0,0,0,0
27-Jul,0,6,0,0,0,0,0,0
28-Jul,0,6,0,0,0,0,0,0
29-Jul,0,9,0,0,0,0,0,0
30-Jul,0,13,0,0,0,0,0,0
31-Jul,0,8,0,0,0,0,0,0
1-Aug,1,3,0,0,0,0,0,0
2-Aug,0,7,0,0,0,0,0,0
3-Aug,0,13,0,0,0,0,0,0
4-Aug,0,11,0,0,0,0,0,0
5-Aug,0,15,0,0,0,0,0,0
6-Aug,0,8,0,0,0,0,0,0
7-Aug,0,11,0,0,0,0,0,0
8-Aug,0,12,0,0,0,0,0,0
9-Aug,0,16,0,0,0,0,0,0
10-Aug,0,18,0,0,0,0,0,0
11-Aug,0,19,0,0,0,0,0,0
12-Aug,0,21,0,0,0,0,0,0
13-Aug,1,8,0,0,0,0,0,0
14-Aug,0,14,0,0,0,0,0,0
15-Aug,0,4,0,0,0,0,0,0
16-Aug,1,16,0,0,0,0,0,0
17-Aug,0,25,0,0,0,0,0,0
18-Aug,0,17,0,0,0,0,0,0
19-Aug,0,12,0,0,0,0,0,0
20-Aug,0,13,0,0,0,0,0,0
21-Aug,0,9,0,0,0,0,0,0
22-Aug,0,13,0,0,0,0,0,0
23-Aug,0,17,0,0,0,0,0,0
24-Aug,0,15,0,0,0,0,0,0
25-Aug,0,8,0,0,0,0,0,0
26-Aug,0,24,0,0,0,0,0,0
27-Aug,0,22,0,0,0,0,0,0
28-Aug,0,11,0,0,0,0,0,0
29-Aug,0,18,0,0,0,0,0,0
30-Aug,0,11,0,0,0,0,0,0
31-Aug,0,41,0,0,0,0,0,0
1-Sep,0,5,0,0,0,0,0,0
2-Sep,0,6,0,0,0,0,0,0
3-Sep,0,15,0,0,0,0,0,0
4-Sep,0,59,0,0,0,0,0,0
5-Sep,0,11,0,0,0,0,0,0
6-Sep,0,5,0,0,0,0,0,0
7-Sep,0,9,0,0,0,0,0,0
8-Sep,0,8,0,0,0,0,0,0
9-Sep,0,11,0,0,0,0,0,0
10-Sep,0,7,0,0,0,0,0,0
11-Sep,0,9,0,0,0,0,0,0
